product_id,orders,ship_id
I0030,1,B02T12
I0300,1,B02T12
I0423,1,B02T12
I0053,1,B13T01
I0173,1,B13T01
I0197,1,B13T01
I0314,1,B13T01
I0345,1,B13T01
I0030,1,B13T01
I0434,1,B13T01
I0010,1,B06T07
I0016,1,B06T07
I0013,1,B06T07
I0328,1,B06T07
I0069,2,B06T05
I0161,2,B06T05
I0305,1,B06T05
I0020,1,B05T04
I0003,1,B05T04
I0012,1,B20T02
I0005,1,B20T02
I0003,1,B20T02
I0542,1,B20T02
I0044,1,B20T02
I0792,1,B20T02
I0053,1,B02T03
I0078,1,B02T03
I0233,1,B02T03
I0012,1,B20T03
I0002,1,B20T03
I0144,1,B20T03
I0109,1,B20T03
I0005,1,B20T03
I0337,1,B20T03
I0300,1,B04T14
I0012,1,B10T01
I0109,1,B10T01
I0002,1,B10T01
I0003,1,B10T01
I0282,1,B10T01
I0337,1,B10T01
I0368,1,B10T01
I0117,1,B10T01
I0010,1,B06T11
I0016,1,B06T11
I0020,1,B05T02
I0003,1,B05T02
I0002,2,B10T14
I0003,1,B10T14
I0020,1,B10T14
I0282,1,B10T14
I0344,1,B10T14
I0070,1,B10T14
I0389,1,B17T03
I0496,1,B17T03
I0223,1,B17T03
I0276,1,B17T03
I0123,1,B17T03
I0010,1,B04T05
I0260,1,B06T14
I0080,1,B06T14
I0130,1,B06T14
I0153,1,B03T09
I0200,1,B03T09
I0215,1,B03T09
I0220,1,B03T09
I0274,1,B03T09
I0020,1,B05T03
I0003,2,B05T03
I0020,1,B05T05
I0038,1,B05T05
I0002,2,B05T05
I0003,1,B05T05
I0145,1,B05T05
I0282,2,B05T05
I0337,1,B05T05
I0016,1,B05T14
I0013,1,B05T01
I0053,1,B13T00
I0083,1,B13T00
I0173,1,B13T00
I0148,1,B13T00
I0215,1,B13T00
I0002,1,B17T07
I0084,1,B17T07
I0005,1,B17T07
I0472,1,B17T07
I0337,1,B17T07
I0438,1,B17T07
I0170,1,B17T07
I0260,1,B17T07
I0260,1,B18T02
I0468,1,B18T02
I0231,1,B18T02
I0020,1,B18T02
I0074,1,B18T02
I0337,1,B18T02
I0043,1,B18T02
I0292,1,B18T02
I0604,1,B18T02
I0012,1,B20T04
I0005,1,B20T04
I0002,2,B20T04
I0003,1,B20T04
I0597,1,B20T04
I0126,1,B20T04
I0337,1,B20T04
I0030,1,B31T09
I0197,1,B31T09
I0882,1,B31T09
I0044,1,B12T08
I0048,1,B12T08
I0002,1,B12T08
I0003,1,B12T08
I0069,2,B08T14
I0246,1,B08T14
I0019,1,B08T14
I0013,1,B08T14
I0388,1,B08T14
I0480,2,B08T14
I0222,1,B08T14
I0010,1,B05T00
I0013,2,B05T00
I0050,1,B05T00
I0328,1,B05T00
I0350,1,B05T00
I0269,1,B12T14
I0448,1,B12T14
I0200,1,B12T14
I0083,1,B23T11
I0168,1,B23T11
I0173,1,B23T11
I0060,1,B23T11
I0148,1,B23T11
I0220,1,B23T11
I0053,1,B23T11
I0358,1,B23T11
I0215,1,B23T11
I0010,1,B06T10
I0013,1,B06T10
I0016,1,B06T10
I0027,1,B02T06
I0030,1,B02T06
I0279,1,B02T06
I0197,1,B02T06
I0423,1,B02T06
I0027,1,B12T10
I0030,1,B12T10
I0105,1,B12T10
I0250,1,B12T10
I0096,1,B12T10
I0197,1,B12T10
I0003,1,B04T13
I0368,1,B04T13
I0057,1,B19T05
I0067,1,B19T05
I0723,1,B19T05
I0009,1,B19T05
I0002,1,B19T05
I0260,1,B19T05
I0320,1,B19T05
I0232,1,B17T00
I0387,1,B17T00
I0389,1,B17T00
I0134,1,B17T00
I0030,1,B17T00
I0398,1,B17T00
I0197,1,B17T00
I0069,2,B16T02
I0169,1,B16T02
I0161,2,B16T02
I0013,1,B16T02
I0019,1,B16T02
I0107,1,B03T08
I0223,1,B03T08
I0197,1,B03T08
I0030,1,B03T08
I0269,2,B12T13
I0279,2,B12T13
I0215,1,B12T13
I0423,1,B12T13
I0260,1,B20T12
I0520,1,B20T12
I0005,1,B20T12
I0337,1,B20T12
I0492,1,B20T12
